feature,score
total_sales,10116
coupon_rate,7864
days_distance,6805
discount_rate,6513
sales_use_coupon,6070
total_coupon,5968
day_of_month,5490
discount_man,5277
this_month_user_receive_all_coupon_count,4317
Distance,3988
discount_jian,3656
merchant_coupon_transfer_rate,3066
buy_total,2700
this_day_user_receive_all_coupon_count,2129
this_month_user_receive_same_coupon_count,1897
user_merchant_buy_total,1896
user_merchant_buy_common,1887
merchant_max_distance,1876
avg_user_date_datereceived_gap,1594
this_month_user_receive_same_coupon_lastone,1575
Count_merchant,1540
buy_use_coupon_rate,1407
Coupon_received,1373
user_merchant_rate,1300
max_user_date_datereceived_gap,1173
this_month_user_receive_same_coupon_firstone,1157
user_merchant_any,1088
user_merchant_coupon_buy_rate,1034
min_user_date_datereceived_gap,945
merchant_min_distance,915
user_merchant_coupon_transfer_rate,802
buy_use_coupon,733
user_coupon_transfer_rate,669
user_merchant_buy_use_coupon,596
weekday4,557
user_merchant_common_buy_rate,551
user_merchant_received,456
is_weekend,394
weekday7,381
weekday2,359
weekday5,344
weekday1,334
user_max_distance,329
weekday3,328
user_min_distance,325
user_mean_distance,312
weekday6,287
this_day_user_receive_same_coupon_count,240
is_man_jian,237
user_median_distance,188
